id,portfolio,agency,acronym,program,component,outcome,outcome_text,last,current,plus1,plus2,plus3,souce,url
,Treasury Portfolio,Australian Securities and Investments Commission ,ASIC,Programme 1.1: Australian Securities and Investments Commission,ASIC - Departmental expenses: Expenses not requiring appropriation  in the budget year,1,Outcome 1: Improved confidence in Australia,51611,44596,39071,32107,26176,Australian Securities and Investments Commission (ASIC)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/8baae78c-5368-41d3-92a9-f9a7a76b32d9
,Treasury Portfolio,Australian Securities and Investments Commission ,ASIC,Programme 1.1: Australian Securities and Investments Commission,ASIC - Administered expenses: Ordinary annual services (Appropriation Bill No. 1) ,1,Outcome 1: Improved confidence in Australia,5551,5828,6113,4197,4281,Australian Securities and Investments Commission (ASIC)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/8baae78c-5368-41d3-92a9-f9a7a76b32d9
,Treasury Portfolio,Australian Securities and Investments Commission ,ASIC,Programme 1.1: Australian Securities and Investments Commission,ASIC - Administered expenses: Expenses not requiring appropriation  in the budget year,1,Outcome 1: Improved confidence in Australia,43011,43495,43985,44480,44981,Australian Securities and Investments Commission (ASIC)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/8baae78c-5368-41d3-92a9-f9a7a76b32d9
,Treasury Portfolio,Australian Securities and Investments Commission ,ASIC,"Programme 1.2: Banking Act  1959, Life Insurance Act  1995, unclaimed monies and special accounts",ASIC - Administered expenses: Special appropriation Banking Act  1959 - Banking Unclaimed Moneys & Life Insurance Act  1995 - Life Unclaimed Moneys,1,Outcome 1: Improved confidence in Australia,126571,50079,56063,62234,68866,Australian Securities and Investments Commission (ASIC)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/8baae78c-5368-41d3-92a9-f9a7a76b32d9
,Treasury Portfolio,Australian Securities and Investments Commission ,ASIC,"Programme 1.2: Banking Act  1959, Life Insurance Act  1995, unclaimed monies and special accounts",ASIC - Administered expenses: Section 28 of the FMA Act Companies unclaimed monies,1,Outcome 1: Improved confidence in Australia,24821,24937,25230,25230,25240,Australian Securities and Investments Commission (ASIC)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/8baae78c-5368-41d3-92a9-f9a7a76b32d9
,Treasury Portfolio,Australian Securities and Investments Commission ,ASIC,"Programme 1.2: Banking Act  1959, Life Insurance Act  1995, unclaimed monies and special accounts",ASIC - Administered expenses: Ordinary annual services,1,Outcome 1: Improved confidence in Australia,2179,2063,1770,1650,1760,Australian Securities and Investments Commission (ASIC)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/8baae78c-5368-41d3-92a9-f9a7a76b32d9
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.1: Australian Taxation Office,ATO - Administered expenses: Ordinary annual services (Appropriation Bill No. 1) ,1,Outcome 1: Confidence in the administration of aspects of Australia,3378808,3278674,3140890,2997300,2913043,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.1: Australian Taxation Office,ATO - Departmental expenses: Departmental appropriation & Expenses not requiring appropriation  in the budget year,1,Outcome 1: Confidence in the administration of aspects of Australia,5690,284,31,31,0,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.2: Tax Practitioners Board,ATO - Departmental expenses: Departmental appropriation ,1,Outcome 1: Confidence in the administration of aspects of Australia,18206,15243,15093,15001,14895,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.3: Australian Business Register,ATO - Departmental expenses: Departmental appropriation ,1,Outcome 1: Confidence in the administration of aspects of Australia,143836,143362,142257,141672,141374,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.4: Australian Valuation Office,ATO - Departmental expenses: Special account Valuation Services Special account ,1,Outcome 1: Confidence in the administration of aspects of Australia,43542,0,0,0,0,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.5: Australian Charities and Not-for-profits,ATO - Departmental expenses: Special account ACNC Special account ,1,Outcome 1: Confidence in the administration of aspects of Australia,15161,15039,14845,14752,14858,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.6: Australian Screen Production Incentive,ATO - Administered expenses: Special appropriation Taxation Administration Act  1953 - section 16 (Non-refund items) ,1,Outcome 1: Confidence in the administration of aspects of Australia,284000,264000,219300,245300,219300,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.7: Cleaner Fuels Grant Scheme ,ATO - Administered expenses: Special appropriation Product Grants and Benefits Administration Act  2000 - cleaner fuel grants,1,Outcome 1: Confidence in the administration of aspects of Australia,82000,132000,0,0,0,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.8: Conversation Tillage Refundable Tax Offset,ATO - Administered expenses: Special appropriation Taxation Administration Act  1953 - section 16 (Non-refund items) ,1,Outcome 1: Confidence in the administration of aspects of Australia,20000,0,0,0,0,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.9: Exploration Development Incentive,ATO - Administered expenses: Special appropriation Taxation Administration Act  1953 - section 16 (Non-refund items) ,1,Outcome 1: Confidence in the administration of aspects of Australia,0,25000,35000,40000,0,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.10: Fuel Tax Credits Scheme,ATO - Administered expenses: Special appropriation Taxation Administration Act  1953 - section 16 (Non-refund items) ,1,Outcome 1: Confidence in the administration of aspects of Australia,5822900,6270200,6821800,7211300,7615300,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.11: National Rental Affordability Scheme,ATO - Administered expenses: Special appropriation Taxation Administration Act  1953 - section 16 (Non-refund items) ,1,Outcome 1: Confidence in the administration of aspects of Australia,128500,177650,202232,243929,251247,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.12: Product Stewardship for Oil,ATO - Administered expenses: Special appropriation Product Grants and Benefits Administration Act  2000 - product stewardship (oil)  benefits,1,Outcome 1: Confidence in the administration of aspects of Australia,47000,50000,53000,55000,58000,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.13: Research and Development Tax Incentive,ATO - Administered expenses: Special appropriation Taxation Administration Act  1953 - section 16 (Non-refund items) ,1,Outcome 1: Confidence in the administration of aspects of Australia,2246000,1940000,2000000,2062000,2126000,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.14: Seafarer Tax Offset,ATO - Administered expenses: Special appropriation Taxation Administration Act  1953 - section 16 (Non-refund items) ,1,Outcome 1: Confidence in the administration of aspects of Australia,4000,4000,0,0,0,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.15: Baby Bonus Tax Offsets,ATO - Administered expenses: Special appropriation Taxation Administration Act  1953 - section 16 (Non-refund items) ,1,Outcome 1: Confidence in the administration of aspects of Australia,700,0,0,0,0,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.16: Education Tax Refund,ATO - Administered expenses: Special appropriation Taxation Administration Act  1953 - section 16 (Non-refund items) ,1,Outcome 1: Confidence in the administration of aspects of Australia,0,0,0,0,0,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.17: First Home Saver Accounts,ATO - Administered expenses: Special appropriation Taxation Administration Act  1953 - section 16 (Non-refund items) ,1,Outcome 1: Confidence in the administration of aspects of Australia,18000,0,0,0,0,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.18: Low Income Earner Superannuation ,ATO - Administered expenses: Special appropriation Taxation Administration Act  1953 - section 16 (Non-refund items) ,1,Outcome 1: Confidence in the administration of aspects of Australia,0,0,0,0,0,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.19: Private Health Insurance Rebate,ATO - Administered expenses: Special appropriation Taxation Administration Act  1953 - section 16 (Non-refund items) ,1,Outcome 1: Confidence in the administration of aspects of Australia,191000,200000,210000,221000,233000,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.20: Superannuation Co-contribution Scheme,ATO - Administered expenses: Special appropriation Taxation Administration Act  1953 - section 16 (Non-refund items) ,1,Outcome 1: Confidence in the administration of aspects of Australia,161000,167000,169000,172000,171000,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.21: Superannuation Guarantee Scheme,ATO - Administered expenses: Special appropriation Superannuation Guarantee (Administration)  Act  1992,1,Outcome 1: Confidence in the administration of aspects of Australia,429000,468000,481000,494000,501000,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.22 Targeted Assistance Through the Taxation,ATO - Administered expenses: Special appropriation Taxation Administration Act  1953 - section 16 (Non-refund items)  - Interest on unclaimed money,1,Outcome 1: Confidence in the administration of aspects of Australia,39300,4800,26900,23200,5900,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.23: Interest on Overpayment and Early Payments ,ATO - Administered expenses: Special appropriation Taxation Administration Act  1953 - section 16 (Non-refund items) ,1,Outcome 1: Confidence in the administration of aspects of Australia,250000,500000,500000,500000,500000,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Australian Taxation Office ,ATO,Programme 1.24: Bad and Doubtful Debts and Remissions,ATO - Administered expenses: Expenses not requiring appropriation  in budget year,1,Outcome 1: Confidence in the administration of aspects of Australia,7163728,7131996,7600110,8055000,8639000,Australian Taxation Office (ATO)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/6617bc24-c48c-4ada-a0a1-23b969236c74
,Treasury Portfolio,Office of the Auditing and Assurance Standards Board ,AUASB,Programme 1.1: Auditing and Assurance Standards Board,AUASB - Departmental expenses: Departmental appropriation & Expenses not requiring appropriation  in the budget year,1,Outcome 1: The formulation and making of auditing and assurance standards that are used by auditors of Australian entity financial reports or for other auditing and assurance engagements,2354,2337,2323,2266,2269,Office of the Auditing and Assurance Standards Board (AUASB)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/42e661cd-b1b1-48b4-be55-79e583574b1b
,Treasury Portfolio,Corporations and Markets Advisory Committee ,CAMAC,Programme 1.1: Corporations and Markets Advisory Committee,CAMAC - Departmental expenses: Departmental appropriation & Expenses not requiring appropriation  in the budget year,1,"Outcome 1: Informed decisions by Government on issues relating to corporations regulation and financial products, services and markets through independent and expert advice",1057,1007,998,990,996,Corporations and Markets Advisory Committee (CAMAC)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/3130598e-9b2e-430c-9aee-357c1a1d3c47
,Treasury Portfolio,Clean Energy Finance Corporation ,CEFC,Programme 1.1: Clean Energy Finance Corporation,CEFC - Departmental expenses: Ordinary annual services (Appropriation Bill No. 1) ,1,"Outcome 1: Facilitate increased flows of finance into Australias clean energy sector, applying commercial rigour to investing in renewable energy, low-emissions and energy efficiency technologies, building industry capacity, and disseminating information to industry stakeholders",8000,0,0,0,0,Clean Energy Finance Corporation (CEFC)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/04116700-9068-43e3-b099-2cc9a5c8482f
,Treasury Portfolio,Clean Energy Finance Corporation ,CEFC,Programme 1.1: Clean Energy Finance Corporation,CEFC - Departmental expenses: Revenues from other independent sources,1,"Outcome 1: Facilitate increased flows of finance into Australias clean energy sector, applying commercial rigour to investing in renewable energy, low-emissions and energy efficiency technologies, building industry capacity, and disseminating information to industry stakeholders",10159,0,0,0,0,Clean Energy Finance Corporation (CEFC)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/04116700-9068-43e3-b099-2cc9a5c8482f
,Treasury Portfolio,Clean Energy Finance Corporation ,CEFC,Programme 1.1: Clean Energy Finance Corporation,CEFC - Departmental expenses: Expenses not requiring appropriation  in budget year,1,"Outcome 1: Facilitate increased flows of finance into Australias clean energy sector, applying commercial rigour to investing in renewable energy, low-emissions and energy efficiency technologies, building industry capacity, and disseminating information to industry stakeholders",23805,3709,5387,5147,5082,Clean Energy Finance Corporation (CEFC)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/04116700-9068-43e3-b099-2cc9a5c8482f
,Treasury Portfolio,Commonwealth Grants Commission ,CGC,Programme 1.1: Commonwealth Grants Commission,CGC - Departmental expenses: Departmental appropriation & Expenses not requiring appropriation  in the budget year,1,Outcome 1: Informed Government decisions on fiscal equalisation between the States and Territories through advice and recommendations on the distribution of GST revenue and health care grants,6505,6444,6370,6296,6343,Commonwealth Grants Commission (CGC)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/4540cf82-26ff-4e34-9e77-2826883d5572
,Treasury Portfolio,Inspector-General of Taxation ,IGT,Programme 1.1: Inspector-General of Taxation,IGT - Departmental expenses: Departmental appropriation & Expenses not requiring appropriation  in the budget year,1,"Outcome 1: Improved tax administration through community consultation, review, and independent advice to government",2655,3359,3254,3229,3268,Inspector-General of Taxation (IGT)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/57da26a5-f45e-4ae0-b5d3-8254b0795f19
,Treasury Portfolio,National Competition Council ,NCC,Program 1.1: National Competition Council,NCC - Departmental expenses: Departmental appropriation & Expenses not requiring appropriation  in the budget year,1,"Outcome 1: Competition in markets that are dependent on  access to nationally significant monopoly infrastructure, through recommendations and decisions promoting the efficient operation of, use of and investment in infrastructure",2793,1972,1812,1815,1764,National Competition Council (NCC)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/8fe45fb4-ea40-4b8e-a6d4-fec3a91bcc50
,Treasury Portfolio,Productivity Commission ,PC,Program 1: Productivity Commission,PC - Departmental expenses: Departmental appropriation & Expenses not requiring appropriation  in the budget year,1,"Outcome 1: Well-informed policy decision-making and public understanding on matters relating to Australias productivity and living standards, based on independent and transparent analysis from a community-wide perspective",38166,35178,34156,33373,33129,Productivity Commission (PC)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/72690753-9f4c-4f24-b9dc-412bd909e0c1
,Treasury Portfolio,Royal Australian Mint ,RAM,Programme 1.1: Royal Australian Mint ,RAM - Administered expenses: Special account Royal Australian Mint Special account ,1,"Outcome 1: The coinage needs of the Australian economy, collectors and foreign countries are met through the manufacture and sale of circulating coins, collector coins and other minted like products",54026,44432,43903,43624,42876,Royal Australian Mint (RAM)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/619163b8-77d1-486b-980e-be5a76efa1d9
,Treasury Portfolio,Royal Australian Mint ,RAM,Programme 1.1: Royal Australian Mint ,RAM - Departmental expenses: Special account Royal Australian Mint Special account ,1,"Outcome 1: The coinage needs of the Australian economy, collectors and foreign countries are met through the manufacture and sale of circulating coins, collector coins and other minted like products",96413,79658,78815,80958,82627,Royal Australian Mint (RAM)  2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/619163b8-77d1-486b-980e-be5a76efa1d9
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.1: Department of the Treasury,DoT - Departmental expenses: Departmental appropriation & Special account Departmental items,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",156622,163995,156930,153501,154854,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.1: Department of the Treasury,DoT - Departmental expenses: Departmental appropriation & Special account Australia to host the Group of 20 in 2014,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",20115,16900,768,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.1: Department of the Treasury,DoT - Departmental expenses: Expenses not requiring appropriation ,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",8786,9797,8217,6886,7478,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.1: Department of the Treasury,DoT - Administered expenses: Other services (Appropriation Bill No. 1) Grant to the Reserve Bank of Australia,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",8800000,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.1: Department of the Treasury,DoT - Administered expenses: Other services (Appropriation Bill No. 1) Other,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",1133,465,486,601,1078,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.1: Department of the Treasury,DoT - Administered expenses: Expenses not requiring appropriation ,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",150000,0,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
,Treasury Portfolio,Department of the Treasury,DoT,Programme 1.2: Payments to International Financial Institutions,DoT - Administered expenses: Other services (Appropriation Bill No. 1) Contribution to the Poverty Reduction and Growth Trust,1,"Outcome 1: Informed decisions on the development and implementation of policies to improve the wellbeing of the Australian people, including by achieving strong, sustainable economic growth, through the provision of advice to government and the efficient administration of federal financial relations",0,36664,0,0,0,Department of the Treasury 2014 - 15 PBS,http://data.gov.au/dataset/budget-2014-15-tables-and-data/resource/5f476903-f46b-4802-95ba-2acec135345e
